run_id,name,n_embd,n_layer,n_head,vocab_size,total_params,model_size_category,quant_enabled,quant_type,uniform_bit_width,primary_bit_width,bit_width_category,final_train_loss,final_val_loss,learning_rate,batch_size,weight_decay,dropout,hyperparams_signature
5ahic90t,241118-17:34:56-dishonest-local,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,4,4,4bit,3.9423970222473144,,0.00015,32,0.0,0.0,lr0.00015_bs32_wd0_do0
5hpqtfwy,241118-17:34:56-insubstantial-valuable,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,2,2,2bit,4.5402830123901365,,0.00015,32,0.0,0.0,lr0.00015_bs32_wd0_do0
duzdtq3n,241118-17:34:56-phony-eye,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,2,2,2bit,5.098484945297241,,0.00015,32,0.2,0.2,lr0.00015_bs32_wd0.2_do0.2
32x1gxxz,241118-17:34:56-pleasing-connection,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,3,3,3bit,4.174935960769654,,0.00015,32,0.0,0.2,lr0.00015_bs32_wd0_do0.2
ormhx9ho,241118-17:34:56-shabby-representative,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,4,4,4bit,4.096675825119019,,0.00015,32,0.0,0.2,lr0.00015_bs32_wd0_do0.2
9vz142c9,241118-17:34:56-traumatic-zone,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,3,3,3bit,4.035391497611999,,0.00015,32,0.0,0.0,lr0.00015_bs32_wd0_do0
j65abi2d,241118-17:35:02-automatic-size,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,3,3,3bit,4.176815795898437,,0.00015,32,0.2,0.2,lr0.00015_bs32_wd0.2_do0.2
snwvrhyi,241118-17:35:02-embellished-bedroom,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,4,4,4bit,3.9466610193252563,,0.00015,32,0.2,0.0,lr0.00015_bs32_wd0.2_do0
1487722u,241118-17:35:02-miserly-shirt,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,3,3,3bit,4.037411332130432,,0.00015,32,0.2,0.0,lr0.00015_bs32_wd0.2_do0
k7o838t8,241118-17:35:11-difficult-drag,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,2,2,2bit,4.469540739059449,,0.00015,32,0.2,0.0,lr0.00015_bs32_wd0.2_do0
bllw4grh,241118-17:35:26-awesome-type,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,4,4,4bit,4.06321086883545,,0.00015,32,0.2,0.2,lr0.00015_bs32_wd0.2_do0.2
87ut7cdy,241118-17:36:02-tattered-vast,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,2,2,2bit,4.761393451690674,,0.00015,8,0.0,0.0,lr0.00015_bs8_wd0_do0
e3fcf0lk,241118-17:36:09-whimsical-leadership,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,3,3,3bit,4.291576194763183,,0.00015,8,0.0,0.0,lr0.00015_bs8_wd0_do0
3rife630,241118-17:36:31-practical-quarter,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,4,4,4bit,4.21412672996521,,0.00015,8,0.0,0.0,lr0.00015_bs8_wd0_do0
ppvlb1ra,241118-17:36:52-gentle-main,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,2,2,2bit,4.74058952331543,,0.00015,8,0.2,0.0,lr0.00015_bs8_wd0.2_do0
vqnnsml7,241118-17:36:53-warm-week,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,3,3,3bit,4.295517635345459,,0.00015,8,0.2,0.0,lr0.00015_bs8_wd0.2_do0
0x4ml9x4,241118-17:37:17-acrobatic-comparison,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,4,4,4bit,4.465446329116821,,0.00015,8,0.2,0.0,lr0.00015_bs8_wd0.2_do0
yfb8mivx,241118-17:37:17-ornate-great,256,2,4,2048,2626048,256emb_2L_4H,True,BrevitasQuantizer,2,2,2bit,6.082193183898926,,0.00015,8,0.0,0.2,lr0.00015_bs8_wd0_do0.2
